Temperature (K);Pressure (MPa);Density (mol/l);Volume (l/mol);Internal Energy (kJ/mol);Enthalpy (kJ/mol);Entropy (J/mol*K);Cv (J/mol*K);Cp (J/mol*K);Sound Spd. (m/s);Joule-Thomson (K/MPa);Viscosity (uPa*s);Therm. Cond. (W/m*K);Surf. Tension (N/m);Phase
59.910.755;12.202.394;36.180.257;0.027639383;26.678.988;27.016.254;63.230.812;54.884.417;12.417.124;75.537.488;0.45021245;76.015.448;0.50932026;0.0085676937;liquid
59.973.078;12.301.721;36.087.936;0.027710091;26.747.376;27.088.258;63.346.348;54.896.146;12.493.012;75.132.224;0.45821169;75.772.565;0.50817124;0.0084334931;liquid
60.035.400;12.401.682;35.994.902;0.027781712;26.816.028;27.160.568;63.462.234;54.908.848;12.570.855;74.724.935;0.46636645;75.529.048;0.50701640;0.0082995861;liquid
60.097.723;12.502.282;35.901.140;0.027854269;26.884.950;27.233.192;63.578.480;54.922.555;12.650.734;74.315.583;0.47468146;75.284.868;0.50585570;0.0081659784;liquid
60.160.046;12.603.524;35.806.635;0.027927785;26.954.147;27.306.135;63.695.096;54.937.299;12.732.732;73.904.127;0.48316164;75.039.994;0.50468907;0.0080326754;liquid
60.222.368;12.705.412;35.711.372;0.028002285;27.023.625;27.379.405;63.812.091;54.953.114;12.816.940;73.490.522;0.49181212;74.794.397;0.50351647;0.0078996832;liquid
60.284.691;12.807.949;35.615.333;0.028077794;27.093.390;27.453.009;63.929.476;54.970.036;12.903.452;73.074.723;0.50063830;74.548.043;0.50233783;0.0077670075;liquid
60.347.014;12.911.140;35.518.503;0.028154340;27.163.449;27.526.953;64.047.261;54.988.102;12.992.371;72.656.681;0.50964582;74.300.901;0.50115310;0.0076346544;liquid
60.409.336;13.014.987;35.420.863;0.028231949;27.233.808;27.601.246;64.165.458;55.007.353;13.083.802;72.236.344;0.51884061;74.052.936;0.49996222;0.0075026301;liquid
60.471.659;13.119.495;35.322.395;0.028310651;27.304.474;27.675.895;64.284.078;55.027.830;13.177.860;71.813.657;0.52822888;73.804.112;0.49876515;0.0073709411;liquid
60.533.982;13.224.668;35.223.079;0.028390476;27.375.455;27.750.909;64.403.134;55.049.577;13.274.668;71.388.561;0.53781715;73.554.393;0.49756183;0.0072395936;liquid
60.596.304;13.330.509;35.122.897;0.028471456;27.446.757;27.826.296;64.522.638;55.072.642;13.374.354;70.960.995;0.54761228;73.303.740;0.49635220;0.0071085945;liquid
60.658.627;13.437.023;35.021.826;0.028553623;27.518.389;27.902.065;64.642.603;55.097.074;13.477.058;70.530.894;0.55762149;73.052.113;0.49513623;0.0069779505;liquid
60.720.950;13.544.212;34.919.845;0.028637011;27.590.359;27.978.224;64.763.042;55.122.925;13.582.927;70.098.187;0.56785236;72.799.470;0.49391385;0.0068476687;liquid
60.783.272;13.652.083;34.816.932;0.028721658;27.662.675;28.054.785;64.883.971;55.150.251;13.692.120;69.662.801;0.57831290;72.545.771;0.49268502;0.0067177561;liquid
